Date,North American Product Classification System (NAPCS),VALUE
Mar-20,"Total, Raw materials price indexes (RMPI)",85.6
Apr-20,"Total, Raw materials price indexes (RMPI)",74.5
May-20,"Total, Raw materials price indexes (RMPI)",85.7
Jun-20,"Total, Raw materials price indexes (RMPI)",90.4
Jul-20,"Total, Raw materials price indexes (RMPI)",92.5
Aug-20,"Total, Raw materials price indexes (RMPI)",97.6
Sep-20,"Total, Raw materials price indexes (RMPI)",96.1
Oct-20,"Total, Raw materials price indexes (RMPI)",96.3
Nov-20,"Total, Raw materials price indexes (RMPI)",96.9
Dec-20,"Total, Raw materials price indexes (RMPI)",100.3
Jan-21,"Total, Raw materials price indexes (RMPI)",105.8
Feb-21,"Total, Raw materials price indexes (RMPI)",112.8
Mar-21,"Total, Raw materials price indexes (RMPI)",115.2
Apr-21,"Total, Raw materials price indexes (RMPI)",116.3
May-21,"Total, Raw materials price indexes (RMPI)",120.1
Jun-21,"Total, Raw materials price indexes (RMPI)",124.7
Jul-21,"Total, Raw materials price indexes (RMPI)",128.5
Aug-21,"Total, Raw materials price indexes (RMPI)",124.7
Sep-21,"Total, Raw materials price indexes (RMPI)",127.6
Oct-21,"Total, Raw materials price indexes (RMPI)",133.6
Nov-21,"Total, Raw materials price indexes (RMPI)",133.3
Dec-21,"Total, Raw materials price indexes (RMPI)",129.6
Jan-22,"Total, Raw materials price indexes (RMPI)",138.3
Feb-22,"Total, Raw materials price indexes (RMPI)",147
Mar-22,"Total, Raw materials price indexes (RMPI)",164.3
Apr-22,"Total, Raw materials price indexes (RMPI)",160.9
May-22,"Total, Raw materials price indexes (RMPI)",165.9
Jun-22,"Total, Raw materials price indexes (RMPI)",166.6
Jul-22,"Total, Raw materials price indexes (RMPI)",154.8
Aug-22,"Total, Raw materials price indexes (RMPI)",148.2
Sep-22,"Total, Raw materials price indexes (RMPI)",143.7
Oct-22,"Total, Raw materials price indexes (RMPI)",145.3
Nov-22,"Total, Raw materials price indexes (RMPI)",144.7
Dec-22,"Total, Raw materials price indexes (RMPI)",141.3
Jan-23,"Total, Raw materials price indexes (RMPI)",140.8
Feb-23,"Total, Raw materials price indexes (RMPI)",141.1
Mar-23,"Total, Raw materials price indexes (RMPI)",139.6
Apr-23,"Total, Raw materials price indexes (RMPI)",143.4
May-23,"Total, Raw materials price indexes (RMPI)",135.7
Jun-23,"Total, Raw materials price indexes (RMPI)",133
Jul-23,"Total, Raw materials price indexes (RMPI)",137.9
Aug-23,"Total, Raw materials price indexes (RMPI)",142.6
Sep-23,"Total, Raw materials price indexes (RMPI)",148
Oct-23,"Total, Raw materials price indexes (RMPI)",144
Nov-23,"Total, Raw materials price indexes (RMPI)",136.9
Dec-23,"Total, Raw materials price indexes (RMPI)",130.2
Jan-24,"Total, Raw materials price indexes (RMPI)",131.7
Feb-24,"Total, Raw materials price indexes (RMPI)",134.4
Mar-24,"Total, Raw materials price indexes (RMPI)",140
Apr-24,"Total, Raw materials price indexes (RMPI)",147.2
May-24,"Total, Raw materials price indexes (RMPI)",144.9
Jun-24,"Total, Raw materials price indexes (RMPI)",142.6
Jul-24,"Total, Raw materials price indexes (RMPI)",143.6
Aug-24,"Total, Raw materials price indexes (RMPI)",139.3
Sep-24,"Total, Raw materials price indexes (RMPI)",134.8
Oct-24,"Total, Raw materials price indexes (RMPI)",140.3
Nov-24,"Total, Raw materials price indexes (RMPI)",140.2
Dec-24,"Total, Raw materials price indexes (RMPI)",142
Jan-25,"Total, Raw materials price indexes (RMPI)",147.3
Mar-20,Crude energy products [M51],57.9
Apr-20,Crude energy products [M51],30.4
May-20,Crude energy products [M51],58.7
Jun-20,Crude energy products [M51],71.2
Jul-20,Crude energy products [M51],75.7
Aug-20,Crude energy products [M51],77
Sep-20,Crude energy products [M51],72.6
Oct-20,Crude energy products [M51],72.4
Nov-20,Crude energy products [M51],74
Dec-20,Crude energy products [M51],81.8
Jan-21,Crude energy products [M51],90.9
Feb-21,Crude energy products [M51],105.2
Mar-21,Crude energy products [M51],111
Apr-21,Crude energy products [M51],107.4
May-21,Crude energy products [M51],109.9
Jun-21,Crude energy products [M51],120.5
Jul-21,Crude energy products [M51],126.1
Aug-21,Crude energy products [M51],118.8
Sep-21,Crude energy products [M51],127.4
Oct-21,Crude energy products [M51],143.6
Nov-21,Crude energy products [M51],137.5
Dec-21,Crude energy products [M51],126.6
Jan-22,Crude energy products [M51],147.7
Feb-22,Crude energy products [M51],164.4
Mar-22,Crude energy products [M51],196
Apr-22,Crude energy products [M51],184.7
May-22,Crude energy products [M51],202.1
Jun-22,Crude energy products [M51],210.7
Jul-22,Crude energy products [M51],190.8
Aug-22,Crude energy products [M51],173.1
Sep-22,Crude energy products [M51],167.8
Oct-22,Crude energy products [M51],171.4
