REF_DATE,North American Product Classification System (NAPCS),VALUE
Mar-20,"Total, Industrial product price index (IPPI)",98.9
Apr-20,"Total, Industrial product price index (IPPI)",97
May-20,"Total, Industrial product price index (IPPI)",97.9
Jun-20,"Total, Industrial product price index (IPPI)",98
Jul-20,"Total, Industrial product price index (IPPI)",99.1
Aug-20,"Total, Industrial product price index (IPPI)",100.1
Sep-20,"Total, Industrial product price index (IPPI)",100.8
Oct-20,"Total, Industrial product price index (IPPI)",100.9
Nov-20,"Total, Industrial product price index (IPPI)",100.5
Dec-20,"Total, Industrial product price index (IPPI)",102.1
Jan-21,"Total, Industrial product price index (IPPI)",104.3
Feb-21,"Total, Industrial product price index (IPPI)",107.4
Mar-21,"Total, Industrial product price index (IPPI)",109.2
Apr-21,"Total, Industrial product price index (IPPI)",111.5
May-21,"Total, Industrial product price index (IPPI)",114.8
Jun-21,"Total, Industrial product price index (IPPI)",115
Jul-21,"Total, Industrial product price index (IPPI)",115
Aug-21,"Total, Industrial product price index (IPPI)",114.6
Sep-21,"Total, Industrial product price index (IPPI)",116
Oct-21,"Total, Industrial product price index (IPPI)",117.6
Nov-21,"Total, Industrial product price index (IPPI)",117.6
Dec-21,"Total, Industrial product price index (IPPI)",118.2
Jan-22,"Total, Industrial product price index (IPPI)",121.3
Feb-22,"Total, Industrial product price index (IPPI)",124.6
Mar-22,"Total, Industrial product price index (IPPI)",129
Apr-22,"Total, Industrial product price index (IPPI)",130.5
May-22,"Total, Industrial product price index (IPPI)",132.7
Jun-22,"Total, Industrial product price index (IPPI)",131.6
Jul-22,"Total, Industrial product price index (IPPI)",128.4
Aug-22,"Total, Industrial product price index (IPPI)",126.5
Sep-22,"Total, Industrial product price index (IPPI)",126.3
Oct-22,"Total, Industrial product price index (IPPI)",129.2
Nov-22,"Total, Industrial product price index (IPPI)",128.2
Dec-22,"Total, Industrial product price index (IPPI)",127.1
Jan-23,"Total, Industrial product price index (IPPI)",127.1
Feb-23,"Total, Industrial product price index (IPPI)",126.4
Mar-23,"Total, Industrial product price index (IPPI)",126.2
Apr-23,"Total, Industrial product price index (IPPI)",125.9
May-23,"Total, Industrial product price index (IPPI)",125.2
Jun-23,"Total, Industrial product price index (IPPI)",124.3
Jul-23,"Total, Industrial product price index (IPPI)",124.3
Aug-23,"Total, Industrial product price index (IPPI)",126.5
Sep-23,"Total, Industrial product price index (IPPI)",127
Oct-23,"Total, Industrial product price index (IPPI)",125.8
Nov-23,"Total, Industrial product price index (IPPI)",125.3
Dec-23,"Total, Industrial product price index (IPPI)",123.3
Jan-24,"Total, Industrial product price index (IPPI)",123.3
Feb-24,"Total, Industrial product price index (IPPI)",124.6
Mar-24,"Total, Industrial product price index (IPPI)",125.7
Apr-24,"Total, Industrial product price index (IPPI)",127.7
May-24,"Total, Industrial product price index (IPPI)",128
Jun-24,"Total, Industrial product price index (IPPI)",127.9
Jul-24,"Total, Industrial product price index (IPPI)",127.9
Aug-24,"Total, Industrial product price index (IPPI)",126.7
Sep-24,"Total, Industrial product price index (IPPI)",125.7
Oct-24,"Total, Industrial product price index (IPPI)",127.2
Nov-24,"Total, Industrial product price index (IPPI)",127.9
Dec-24,"Total, Industrial product price index (IPPI)",128.4
Jan-25,"Total, Industrial product price index (IPPI)",130.5
Mar-20,"Total Industrial product price index (IPPI), excluding energy and petroleum products",101.7
Apr-20,"Total Industrial product price index (IPPI), excluding energy and petroleum products",101.7
May-20,"Total Industrial product price index (IPPI), excluding energy and petroleum products",102.2
Jun-20,"Total Industrial product price index (IPPI), excluding energy and petroleum products",101.4
Jul-20,"Total Industrial product price index (IPPI), excluding energy and petroleum products",101.9
Aug-20,"Total Industrial product price index (IPPI), excluding energy and petroleum products",103.1
Sep-20,"Total Industrial product price index (IPPI), excluding energy and petroleum products",104.3
Oct-20,"Total Industrial product price index (IPPI), excluding energy and petroleum products",104.3
Nov-20,"Total Industrial product price index (IPPI), excluding energy and petroleum products",103.6
Dec-20,"Total Industrial product price index (IPPI), excluding energy and petroleum products",104.7
Jan-21,"Total Industrial product price index (IPPI), excluding energy and petroleum products",106.4
Feb-21,"Total Industrial product price index (IPPI), excluding energy and petroleum products",108.8
Mar-21,"Total Industrial product price index (IPPI), excluding energy and petroleum products",110.4
Apr-21,"Total Industrial product price index (IPPI), excluding energy and petroleum products",112.9
May-21,"Total Industrial product price index (IPPI), excluding energy and petroleum products",115.9
Jun-21,"Total Industrial product price index (IPPI), excluding energy and petroleum products",116
Jul-21,"Total Industrial product price index (IPPI), excluding energy and petroleum products",115.6
Aug-21,"Total Industrial product price index (IPPI), excluding energy and petroleum products",115.3
Sep-21,"Total Industrial product price index (IPPI), excluding energy and petroleum products",116.3
Oct-21,"Total Industrial product price index (IPPI), excluding energy and petroleum products",117.1
Nov-21,"Total Industrial product price index (IPPI), excluding energy and petroleum products",117.3
Dec-21,"Total Industrial product price index (IPPI), excluding energy and petroleum products",118.6
Jan-22,"Total Industrial product price index (IPPI), excluding energy and petroleum products",120.7
Feb-22,"Total Industrial product price index (IPPI), excluding energy and petroleum products",123.2
Mar-22,"Total Industrial product price index (IPPI), excluding energy and petroleum products",125.3
Apr-22,"Total Industrial product price index (IPPI), excluding energy and petroleum products",125.9
May-22,"Total Industrial product price index (IPPI), excluding energy and petroleum products",126.1
Jun-22,"Total Industrial product price index (IPPI), excluding energy and petroleum products",124.2
Jul-22,"Total Industrial product price index (IPPI), excluding energy and petroleum products",123.1
Aug-22,"Total Industrial product price index (IPPI), excluding energy and petroleum products",122.5
Sep-22,"Total Industrial product price index (IPPI), excluding energy and petroleum products",123
Oct-22,"Total Industrial product price index (IPPI), excluding energy and petroleum products",124
Nov-22,"Total Industrial product price index (IPPI), excluding energy and petroleum products",123.7
Dec-22,"Total Industrial product price index (IPPI), excluding energy and petroleum products",124.4
Jan-23,"Total Industrial product price index (IPPI), excluding energy and petroleum products",124.3
Feb-23,"Total Industrial product price index (IPPI), excluding energy and petroleum products",124.4
